controller_id,db_name,long_global_pnl,long_max_draw_down,long_max_run_up,long_total_trades,long_total_quote_volume,long_total_duration_minutes,short_global_pnl,short_max_draw_down,short_max_run_up,short_total_trades,short_total_quote_volume,short_total_duration_minutes
binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,6.2094590299997705,-0.006015066940000174,0.006762590029999709,143,1070.1284,294.43333333333334,-84.71260217999871,-0.08471260217999871,0.0037670293700001038,1844,12886.127,579.8333333333334
binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0015_3-0010,binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,6.307704179999893,-0.005955004030000148,0.006860835179999738,152,1097.7055,294.43333333333334,-84.38503565000576,-0.08438503565000575,0.003993837369999285,1865,12972.938300000002,579.7833333333333
binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0020_3-0010,binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,6.251776729999584,-0.005970939150000177,0.006847512279999655,152,1099.1042,294.43333333333334,-83.97634755000404,-0.08397634755000404,0.00392092365000026,1847,12956.912100000001,579.7833333333333
binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0050_3-0010,binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,6.2610961899995665,-0.005962418620000219,0.006865927189999577,145,1100.5232,294.6,-84.5278641399963,-0.0845278641399963,0.0039792317199999925,1860,12946.118199999999,579.85
binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,6.2094590299997705,-0.006015066940000174,0.006762590029999709,143,1070.1284,294.43333333333334,-84.71260217999871,-0.08471260217999871,0.0037670293700001038,1844,12886.127,579.8333333333334
binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0015_3-0010,binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,6.307704179999893,-0.005955004030000148,0.006860835179999738,152,1097.7055,294.43333333333334,-84.38503565000576,-0.08438503565000575,0.003993837369999285,1865,12972.938300000002,579.7833333333333
binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0020_3-0010,binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,6.251776729999584,-0.005970939150000177,0.006847512279999655,152,1099.1042,294.43333333333334,-83.97634755000404,-0.08397634755000404,0.00392092365000026,1847,12956.912100000001,579.7833333333333
binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0050_3-0010,binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,6.2610961899995665,-0.005962418620000219,0.006865927189999577,145,1100.5232,294.6,-84.5278641399963,-0.0845278641399963,0.0039792317199999925,1860,12946.118199999999,579.85
binance-perpetual||BOME-USDT||SWARMS-USDT||2025||isoweek11||step-0.0010_3-0010,binance_perpetual-2025-11-3-0010-batch1-2025.sqlite,11.24289988999897,-0.0074603666600001894,0.01180108979999903,277,2036.705548,331.25,11.677034510001562,-0.020306150699998093,0.012154931290001747,759,5304.063899999999,411.31666666666666
binance-perpetual||BOME-USDT||SWARMS-USDT||2025||isoweek11||step-0.0015_3-0010,binance_perpetual-2025-11-3-0010-batch1-2025.sqlite,10.881751689999128,-0.00775831356000018,0.011438992339999031,266,1995.28502,331.25,10.732696120001957,-0.020232179209997883,0.011408802000002095,731,5221.972,394.1166666666667
binance-perpetual||BOME-USDT||SWARMS-USDT||2025||isoweek11||step-0.0020_3-0010,binance_perpetual-2025-11-3-0010-batch1-2025.sqlite,11.043698529999071,-0.007613467700000197,0.011679087689999161,277,2022.8299410000002,331.25,11.70381674000027,-0.020210405159997915,0.012219222370000721,750,5317.8812,411.31666666666666
