db_name,controller_id,side,trading_pair,order_type,trade_type,cumulative_fee_paid_quote,position_action,timestamp,price,base_amount,quote_amount,position_multiplier
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.0036085,CLOSE,1741760785,0.7217,10.0,7.217,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.0014282,OPEN,1741762029,0.7141,10.0,7.141,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.003585,CLOSE,1741762409,0.717,10.0,7.17,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.003582,OPEN,1741761947,0.7164,10.0,7.164,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.000719,CLOSE,1741762650,0.719,2.0,1.438,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.002876,CLOSE,1741762650,0.719,8.0,5.752,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.003594,OPEN,1741761565,0.7188,10.0,7.188,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.003607,CLOSE,1741763027,0.7214,10.0,7.214,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.0014424,OPEN,1741759450,0.7212,10.0,7.212,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.003621,CLOSE,1741763121,0.7242,10.0,7.242,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.0014428,OPEN,1741763359,0.7214,10.0,7.214,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.0036205,CLOSE,1741764071,0.7241,10.0,7.241,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.0014428,OPEN,1741764358,0.7214,10.0,7.214,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.003621,CLOSE,1741764478,0.7242,10.0,7.242,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.0014476,OPEN,1741750991,0.7238,10.0,7.238,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.003634,CLOSE,1741764520,0.7268,10.0,7.268,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.0014506,OPEN,1741749543,0.7253,10.0,7.253,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.0032805,CLOSE,1741764814,0.729,9.0,6.561,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.0003645,CLOSE,1741764814,0.729,1.0,0.729,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.0014508,OPEN,1741749542,0.7254,10.0,7.254,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.0036585,CLOSE,1741765761,0.7317,10.0,7.317,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.0036245,OPEN,1741749548,0.7249,10.0,7.249,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.003667,CLOSE,1741765970,0.7334,10.0,7.334,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.0036265,OPEN,1741749565,0.7253,10.0,7.253,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.0036805,CLOSE,1741766294,0.7361,10.0,7.361,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.00329985,OPEN,1741766409,0.7333,9.0,6.5997,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.0033129,CLOSE,1741766449,0.7362,9.0,6.6258,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.00327195,OPEN,1741749599,0.7271,9.0,6.5439,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.00258299,CLOSE,1741766733,0.738,7.0,5.166,1
